model_name,method,train_env,test_env,config,params,nmse_db
Base_v3,Base_v3,Base,InH,base,0,-19.8481
Base_v3,Base_v3,Base,InF,base,0,-19.9263
Base_v3,Base_v3,Base,UMi,base,0,-19.4681
Base_v3,Base_v3,Base,UMa,base,0,-11.9842
Base_v3,Base_v3,Base,RMa,base,0,-15.1186
Base_v4,Base_v4,Base,InH,base,0,-18.9947
Base_v4,Base_v4,Base,InF,base,0,-18.9630
Base_v4,Base_v4,Base,UMi,base,0,-18.7512
Base_v4,Base_v4,Base,UMa,base,0,-11.9869
Base_v4,Base_v4,Base,RMa,base,0,-15.2103
Adapter_InF_dim16,Adapter,InF,InH,dim16,131072,-19.0119
Adapter_InF_dim16,Adapter,InF,InF,dim16,131072,-19.0100
Adapter_InF_dim16,Adapter,InF,UMi,dim16,131072,-18.6535
Adapter_InF_dim16,Adapter,InF,UMa,dim16,131072,-10.9968
Adapter_InF_dim16,Adapter,InF,RMa,dim16,131072,-12.3261
Adapter_InF_dim32,Adapter,InF,InH,dim32,262144,-18.3637
Adapter_InF_dim32,Adapter,InF,InF,dim32,262144,-18.3501
Adapter_InF_dim32,Adapter,InF,UMi,dim32,262144,-18.0784
Adapter_InF_dim32,Adapter,InF,UMa,dim32,262144,-9.9035
Adapter_InF_dim32,Adapter,InF,RMa,dim32,262144,-10.8118
Adapter_InF_dim64,Adapter,InF,InH,dim64,524288,-17.4397
Adapter_InF_dim64,Adapter,InF,InF,dim64,524288,-17.4500
Adapter_InF_dim64,Adapter,InF,UMi,dim64,524288,-17.2883
Adapter_InF_dim64,Adapter,InF,UMa,dim64,524288,-9.7303
Adapter_InF_dim64,Adapter,InF,RMa,dim64,524288,-10.7464
Adapter_InF_dim8,Adapter,InF,InH,dim8,65536,-19.4370
Adapter_InF_dim8,Adapter,InF,InF,dim8,65536,-19.4321
Adapter_InF_dim8,Adapter,InF,UMi,dim8,65536,-18.9747
Adapter_InF_dim8,Adapter,InF,UMa,dim8,65536,-11.5985
